Timestamp,Class,Confidence Score,FPS,Error,Delta Error
27,track,"tensor([0.7886], device='cuda:0')",2.53,28.97,5.86
28,track,"tensor([0.8292], device='cuda:0')",2.80,33.02,4.05
28,track,"tensor([0.8767], device='cuda:0')",4.08,32.42,-0.6
28,track,"tensor([0.9263], device='cuda:0')",3.58,26.53,-5.89
28,track,"tensor([0.9038], device='cuda:0')",4.86,21.66,-4.87
29,track,"tensor([0.9184], device='cuda:0')",3.57,15.42,-6.24
29,track,"tensor([0.9442], device='cuda:0')",3.19,3.77,-11.65
29,track,"tensor([0.9302], device='cuda:0')",3.07,-2.25,-6.02
30,track,"tensor([0.9583], device='cuda:0')",3.11,-4.93,-2.68
30,track,"tensor([0.9583], device='cuda:0')",3.52,-7.27,-2.34
30,track,"tensor([0.9300], device='cuda:0')",3.08,-12.1,-4.83
30,track,"tensor([0.9567], device='cuda:0')",3.29,-11.82,0.28
31,track,"tensor([0.9387], device='cuda:0')",3.75,-0.36,11.46
31,track,"tensor([0.9351], device='cuda:0')",3.08,10.22,10.58
31,track,"tensor([0.9372], device='cuda:0')",2.61,13.1,2.88
32,track,"tensor([0.9112], device='cuda:0')",2.76,23.71,10.61
32,track,"tensor([0.9389], device='cuda:0')",2.61,29.8,6.09
33,track,"tensor([0.8940], device='cuda:0')",3.14,30.62,0.82
33,track,"tensor([0.9122], device='cuda:0')",2.87,33.64,3.02
33,track,"tensor([0.6600], device='cuda:0')",3.86,39.76,6.12
33,track,"tensor([0.7233], device='cuda:0')",2.81,43.15,3.39
34,track,"tensor([0.8034], device='cuda:0')",2.21,34.03,-9.12
34,track,"tensor([0.5757], device='cuda:0')",3.34,35.53,1.5
35,track,"tensor([0.8971], device='cuda:0')",3.25,27.29,-8.24
35,track,"tensor([0.8951], device='cuda:0')",5.26,27.72,0.43
35,track,"tensor([0.9441], device='cuda:0')",3.40,22.54,-5.18
35,track,"tensor([0.9062], device='cuda:0')",2.95,16.94,-5.6
36,track,"tensor([0.9337], device='cuda:0')",3.54,9.2,-7.74
36,track,"tensor([0.9461], device='cuda:0')",3.25,8.5,-0.7
36,track,"tensor([0.9482], device='cuda:0')",4.86,3.1,-5.4
36,track,"tensor([0.9429], device='cuda:0')",3.33,-0.3,-3.4
37,track,"tensor([0.9423], device='cuda:0')",3.20,-3.75,-3.45
37,track,"tensor([0.9406], device='cuda:0')",3.44,-5.91,-2.16
37,track,"tensor([0.9538], device='cuda:0')",3.57,-1.7,4.21
38,track,"tensor([0.9464], device='cuda:0')",3.12,-0.97,0.73
38,track,"tensor([0.9494], device='cuda:0')",4.80,-4.6,-3.63
38,track,"tensor([0.9515], device='cuda:0')",3.62,1.92,6.52
38,track,"tensor([0.9377], device='cuda:0')",3.06,-4.76,-6.68
39,track,"tensor([0.9356], device='cuda:0')",3.30,2.24,7.0
39,track,"tensor([0.9535], device='cuda:0')",3.17,1.94,-0.3
39,track,"tensor([0.9367], device='cuda:0')",3.85,4.73,2.79
40,track,"tensor([0.9205], device='cuda:0')",4.60,4.48,-0.25
40,track,"tensor([0.9436], device='cuda:0')",3.87,15.67,11.19
40,track,"tensor([0.9471], device='cuda:0')",3.27,24.15,8.48
41,track,"tensor([0.9415], device='cuda:0')",2.86,28.62,4.47
41,track,"tensor([0.9465], device='cuda:0')",3.42,33.36,4.74
41,track,"tensor([0.9076], device='cuda:0')",2.91,35.54,2.18
41,track,"tensor([0.8988], device='cuda:0')",3.16,33.8,-1.74
42,track,"tensor([0.9357], device='cuda:0')",3.43,25.68,-8.12
42,track,"tensor([0.9286], device='cuda:0')",4.08,22.14,-3.54
