Timestamp,Class,Confidence Score,FPS,Error,Delta Error
00,track,"tensor([0.9456], device='cuda:0')",2.79,-11.5,-0.32
01,track,"tensor([0.9500], device='cuda:0')",3.53,-11.95,-0.45
01,track,"tensor([0.9532], device='cuda:0')",2.14,-12.53,-0.58
01,track,"tensor([0.9486], device='cuda:0')",3.20,-6.78,5.75
02,track,"tensor([0.9512], device='cuda:0')",3.19,-0.48,6.3
02,track,"tensor([0.9479], device='cuda:0')",2.78,-1.79,-1.31
03,track,"tensor([0.9504], device='cuda:0')",3.04,8.0,9.79
03,track,"tensor([0.9579], device='cuda:0')",2.99,9.9,1.9
03,track,"tensor([0.9485], device='cuda:0')",3.21,12.79,2.89
03,track,"tensor([0.9280], device='cuda:0')",2.81,16.01,3.22
04,track,"tensor([0.9473], device='cuda:0')",3.37,20.18,4.17
04,track,"tensor([0.9330], device='cuda:0')",3.63,22.29,2.11
04,track,"tensor([0.9170], device='cuda:0')",2.43,25.0,2.71
05,track,"tensor([0.8578], device='cuda:0')",2.82,24.49,-0.51
05,track,"tensor([0.8289], device='cuda:0')",2.76,26.92,2.43
05,track,"tensor([0.6969], device='cuda:0')",3.35,27.31,0.39
06,track,"tensor([0.6879], device='cuda:0')",4.09,29.65,2.34
06,track,"tensor([0.8620], device='cuda:0')",2.95,29.77,0.12
06,track,"tensor([0.6116], device='cuda:0')",3.52,30.71,0.94
07,track,"tensor([0.5783], device='cuda:0')",2.78,32.36,1.65
07,track,"tensor([0.5221], device='cuda:0')",3.09,30.97,-1.39
12,track,"tensor([0.6043], device='cuda:0')",0.20,34.23,3.26
12,track,"tensor([0.7404], device='cuda:0')",3.73,25.14,-9.09
13,track,"tensor([0.7124], device='cuda:0')",2.20,30.93,5.79
13,track,"tensor([0.9052], device='cuda:0')",2.47,7.1,-23.83
13,track,"tensor([0.5233], device='cuda:0')",2.85,13.25,6.15
14,track,"tensor([0.8621], device='cuda:0')",3.57,3.98,-9.27
14,track,"tensor([0.9194], device='cuda:0')",2.71,4.0,0.02
14,track,"tensor([0.9262], device='cuda:0')",2.92,-4.18,-8.18
15,track,"tensor([0.9116], device='cuda:0')",3.23,-5.83,-1.65
15,track,"tensor([0.9431], device='cuda:0')",2.98,-8.21,-2.38
15,track,"tensor([0.9462], device='cuda:0')",3.26,-6.87,1.34
16,track,"tensor([0.9487], device='cuda:0')",3.36,-8.13,-1.26
16,track,"tensor([0.9580], device='cuda:0')",3.45,-11.81,-3.68
16,track,"tensor([0.9523], device='cuda:0')",3.50,-12.63,-0.82
17,track,"tensor([0.9522], device='cuda:0')",2.99,-12.99,-0.36
17,track,"tensor([0.9509], device='cuda:0')",3.33,-12.93,0.06
17,track,"tensor([0.9507], device='cuda:0')",2.84,-12.94,-0.01
17,track,"tensor([0.9523], device='cuda:0')",3.58,-10.34,2.6
18,track,"tensor([0.9513], device='cuda:0')",3.24,-10.88,-0.54
18,track,"tensor([0.9510], device='cuda:0')",3.31,-11.38,-0.5
18,track,"tensor([0.9464], device='cuda:0')",3.85,-11.21,0.17
19,track,"tensor([0.9496], device='cuda:0')",3.07,-11.23,-0.02
19,track,"tensor([0.9452], device='cuda:0')",2.86,-10.9,0.33
19,track,"tensor([0.9460], device='cuda:0')",3.09,-9.88,1.02
20,track,"tensor([0.9446], device='cuda:0')",2.59,-8.0,1.88
20,track,"tensor([0.9429], device='cuda:0')",3.20,-7.43,0.57
20,track,"tensor([0.9441], device='cuda:0')",3.44,-10.54,-3.11
21,track,"tensor([0.9427], device='cuda:0')",2.68,-11.9,-1.36
21,track,"tensor([0.9448], device='cuda:0')",3.38,-6.77,5.13
21,track,"tensor([0.9376], device='cuda:0')",2.92,-6.23,0.54
22,track,"tensor([0.9399], device='cuda:0')",2.86,-7.79,-1.56
22,track,"tensor([0.9372], device='cuda:0')",3.21,-1.23,6.56
22,track,"tensor([0.9149], device='cuda:0')",2.90,-11.42,-10.19
23,track,"tensor([0.9497], device='cuda:0')",3.04,-9.54,1.88
23,track,"tensor([0.9539], device='cuda:0')",2.78,-6.41,3.13
23,track,"tensor([0.9500], device='cuda:0')",3.08,-7.91,-1.5
24,track,"tensor([0.9420], device='cuda:0')",2.93,-7.38,0.53
24,track,"tensor([0.9527], device='cuda:0')",2.70,-9.75,-2.37
24,track,"tensor([0.9346], device='cuda:0')",3.24,-14.66,-4.91
25,track,"tensor([0.9407], device='cuda:0')",3.02,-2.54,12.12
25,track,"tensor([0.9219], device='cuda:0')",2.92,-2.93,-0.39
25,track,"tensor([0.9423], device='cuda:0')",3.40,-4.1,-1.17
26,track,"tensor([0.9414], device='cuda:0')",3.24,-2.81,1.29
26,track,"tensor([0.9465], device='cuda:0')",2.71,-3.04,-0.23
26,track,"tensor([0.9432], device='cuda:0')",3.00,2.7,5.74
27,track,"tensor([0.9315], device='cuda:0')",3.17,-6.69,-9.39
27,track,"tensor([0.9433], device='cuda:0')",2.73,1.98,8.67
27,track,"tensor([0.9129], device='cuda:0')",3.25,0.66,-1.32
28,track,"tensor([0.8979], device='cuda:0')",2.99,-3.88,-4.54
28,track,"tensor([0.8712], device='cuda:0')",3.25,0.68,4.56
28,track,"tensor([0.8695], device='cuda:0')",2.63,-0.23,-0.91
